rank,RDM,RDM_avg,lower_bound,upper_bound,range,distance_rdm_wa_median,,,,,,,,
33,0.658224404,0.710306327,0.688634426,0.731686379,0.043051953,0.051471671,,,,,,,,
9,0.74015063,0.680666367,0.621137824,0.740555073,0.119417249,0.057131993,,,,,,,,
1,0.824880064,0.676107566,0.602915635,0.748946595,0.14603096,0.147421607,,,,,,,,
37,0.642006338,0.672196229,0.6591053,0.685847242,0.026741942,0.030936379,,,,,,,,
32,0.662267685,0.657841722,0.64316634,0.673696731,0.030530391,0.004215446,,,,,,,,
7,0.768181086,0.652416031,0.601856693,0.705569208,0.103712515,0.113645044,,,,,,,,
3,0.785470545,0.651848555,0.590897025,0.713620865,0.12272384,0.133406888,,,,,,,,
18,0.710409403,0.647735635,0.58684399,0.708941595,0.122097605,0.060063163,,,,,,,,
17,0.716402411,0.646584829,0.588240206,0.705123555,0.116883349,0.0676183,,,,,,,,
42,0.627885222,0.64449505,0.620661942,0.668428114,0.047766172,0.015604305,,,,,,,,
14,0.723425448,0.643610875,0.604878413,0.683116476,0.078238063,0.079854431,,,,,,,average of top 50 ,0.082069631
8,0.761660218,0.643056194,0.588848564,0.697458578,0.108610013,0.11704837,,,,,,,,0.081756071
5,0.779355943,0.642801046,0.560765455,0.725314618,0.164549163,0.133906354,,,,,,,,0.047954507
6,0.778849721,0.638453603,0.578571634,0.699034605,0.12046297,0.139592183,,,,,,,,
13,0.72525847,0.636037429,0.587337973,0.682678191,0.095340219,0.09190957,,,,,,,,
2,0.792073131,0.630521099,0.553607752,0.707123365,0.153515613,0.159746136,,,,,,,,
48,0.602820456,0.628745953,0.606945324,0.649790102,0.042844778,0.025255107,,,,,,,,
29,0.66342175,0.622265498,0.572417678,0.671465073,0.099047395,0.042483874,,,,,,,,
30,0.66308254,0.619519393,0.561837512,0.676909852,0.11507234,0.040914072,,,,,,,,
10,0.735941589,0.619011243,0.550544031,0.688052797,0.137508766,0.11498068,,,,,,,,
56,0.573591053,0.616332531,0.581280384,0.651277543,0.06999716,0.041281794,,,,,,,,
23,0.695204854,0.609823465,0.558088238,0.663682621,0.105594382,0.083120961,,,,,,,,
24,0.68514204,0.60449787,0.521447701,0.688241549,0.166793849,0.077409206,,,,,,,,
11,0.725992024,0.601576805,0.53650258,0.666606112,0.130103532,0.127664412,,,,,,,,
103,0.51247859,0.601533254,0.557976069,0.643069412,0.085093343,0.087219829,,,,,,,,
28,0.669154525,0.599473079,0.558763532,0.638330939,0.079567407,0.072065313,,,,,,,,
35,0.649058163,0.599262476,0.526495141,0.670460289,0.143965148,0.054809853,,,,,,,,
27,0.669850111,0.595384916,0.561883635,0.628796781,0.066913146,0.076256341,,,,,,,,
58,0.571535289,0.593916178,0.542922871,0.64177702,0.09885415,0.021468727,,,,,,,,
4,0.785411954,0.592011213,0.504026809,0.680139567,0.176112758,0.197984453,,,,,,,,
44,0.617912769,0.591152747,0.530646687,0.650643636,0.11999695,0.030917633,,,,,,,,
26,0.670832276,0.590202888,0.531070707,0.646704777,0.11563407,0.083457294,,,,,,,,
61,0.568626285,0.58776776,0.523410266,0.652332018,0.128921752,0.023900905,,,,,,,,
45,0.614504278,0.580545743,0.565378769,0.59566415,0.030285381,0.034739564,,,,,,,,
135,0.460748285,0.578272978,0.530805972,0.623956578,0.093150606,0.116137746,,,,,,,,
41,0.628073096,0.578152816,0.532314473,0.623402891,0.091088418,0.051458076,,,,,,,,
54,0.576021552,0.576239983,0.571711198,0.58051584,0.008804643,0.000144806,,,,,,,,
15,0.719976425,0.575034936,0.50679552,0.643474391,0.136678872,0.148199094,,,,,,,,
22,0.69697392,0.574157278,0.514763311,0.633698506,0.118935195,0.125497147,,,,,,,,
12,0.725304961,0.57330819,0.506237508,0.639700529,0.13346302,0.155500014,,,,,,,,
31,0.662492335,0.571800311,0.513473442,0.627271202,0.11379776,0.093731479,,,,,,,,
81,0.537428737,0.571789424,0.506360802,0.639639056,0.133278254,0.037861435,,,,,,,,
20,0.70591116,0.570260445,0.504911572,0.632530311,0.127618738,0.138949968,,,,,,,,
112,0.496571004,0.569214503,0.524189939,0.612197877,0.088007938,0.071021653,,,,,,,,
19,0.707607269,0.56884563,0.504993803,0.630128994,0.125135191,0.142294624,,,,,,,,
63,0.559300244,0.568368912,0.494330521,0.642857579,0.148527058,0.004366694,,,,,,,,
120,0.483650148,0.56688563,0.516764509,0.615156969,0.098392459,0.081557289,,,,,,,,
101,0.5134781,0.566569527,0.518151169,0.613262917,0.095111749,0.05144584,,,,,,,,
16,0.716985703,0.56505545,0.504727049,0.628996708,0.124269659,0.150255993,,,,,,,,
34,0.654751539,0.564237793,0.516326178,0.610131739,0.09380556,0.093075999,,,,,,,,
123,0.480885834,0.562966903,0.51950837,0.608367235,0.088858865,0.084551485,,,,,,,,
136,0.459366739,0.56216236,0.519474549,0.603424326,0.083949777,0.101543972,,,,,,,,
94,0.519248307,0.561923265,0.499842139,0.625302686,0.125460548,0.046988618,,,,,,,,
97,0.516181588,0.555806239,0.523802555,0.58573931,0.061936754,0.038281824,,,,,,,,
68,0.55133903,0.554929892,0.523742023,0.584127548,0.060385526,0.003136687,,,,,,,,
21,0.705529869,0.553592205,0.477209699,0.626266119,0.14905642,0.155934345,,,,,,,,
49,0.584704876,0.552716573,0.50233814,0.601291401,0.098953261,0.034462979,,,,,,,,
100,0.514181674,0.551340024,0.509096385,0.590757445,0.08166106,0.035360609,,,,,,,,
131,0.466212153,0.550501585,0.497770423,0.600951011,0.103180588,0.082452469,,,,,,,,
39,0.63309592,0.550047477,0.516110459,0.58586459,0.069754131,0.081862084,,,,,,,,
133,0.461587936,0.549701095,0.510932511,0.586421259,0.075488748,0.086708743,,,,,,,,
69,0.550397456,0.546765725,0.518461406,0.575278689,0.056817283,0.00573012,,,,,,,,
178,0.425785214,0.545809507,0.491130353,0.598352288,0.107221935,0.118288665,,,,,,,,
25,0.6711092,0.54566733,0.486024682,0.602254058,0.116229376,0.12851114,,,,,,,,
179,0.425217688,0.545041879,0.489934508,0.597443534,0.107509026,0.117652802,,,,,,,,
77,0.542140007,0.54496026,0.482186049,0.60351336,0.121327311,0.000115382,,,,,,,,
107,0.501044571,0.544461807,0.500587958,0.58541863,0.084830673,0.04192053,,,,,,,,
36,0.643518567,0.544282993,0.467924709,0.625872891,0.157948182,0.095699862,,,,,,,,
47,0.609202802,0.543941577,0.507189091,0.582539686,0.075350595,0.063916931,,,,,,,,
183,0.4225007,0.541486263,0.48587517,0.594786512,0.108911342,0.117256451,,,,,,,,
160,0.443656802,0.54115053,0.463356396,0.623503535,0.160147139,0.100636701,,,,,,,,
198,0.408159554,0.540245454,0.486000589,0.592481638,0.106481049,0.130471518,,,,,,,,
141,0.456082553,0.53947258,0.491654484,0.58959068,0.097936196,0.08643078,,,,,,,,
46,0.613816023,0.538797537,0.487917131,0.587463581,0.09954645,0.077566601,,,,,,,,
51,0.58133322,0.538594405,0.517401211,0.560805901,0.04340469,0.041798278,,,,,,,,
43,0.621962667,0.537728588,0.485196307,0.590362944,0.105166636,0.088056607,,,,,,,,
111,0.496897638,0.537120938,0.483306634,0.587417815,0.10411118,0.038459614,,,,,,,,
57,0.572115839,0.535487016,0.478920691,0.589975821,0.11105513,0.0394623,,,,,,,,
75,0.54241693,0.534639597,0.512809858,0.55572686,0.042917002,0.008168178,,,,,,,,
66,0.553341925,0.533040166,0.456681344,0.614901479,0.158220135,0.017157644,,,,,,,,
206,0.394039214,0.532258749,0.475667504,0.586141015,0.110473511,0.136751231,,,,,,,,
64,0.559017003,0.532157381,0.466296183,0.595344584,0.129048401,0.029778837,,,,,,,,
50,0.581588089,0.532104174,0.478071912,0.5850351,0.106963189,0.053327536,,,,,,,,
79,0.538730443,0.531867425,0.48860636,0.57241445,0.083808089,0.008551018,,,,,,,,
53,0.576202631,0.531341632,0.447612672,0.620482645,0.172869973,0.042614878,,,,,,,,
82,0.537139237,0.531303724,0.487030601,0.572753216,0.085722615,0.007558545,,,,,,,,
204,0.400201857,0.531204224,0.473492691,0.585858612,0.112365921,0.128886692,,,,,,,,
87,0.526489019,0.526068012,0.519376036,0.533236639,0.013860603,0.000113429,,,,,,,,
38,0.641434193,0.525839408,0.458462369,0.59304546,0.134583091,0.120130232,,,,,,,,
195,0.411809385,0.525640726,0.480145722,0.5692994,0.089153678,0.112499932,,,,,,,,
89,0.522741318,0.524250348,0.457525143,0.590395495,0.132870352,0.006157597,,,,,,,,
186,0.418922365,0.523454467,0.463821475,0.585944651,0.122123175,0.108259495,,,,,,,,
62,0.560812175,0.52238512,0.497006037,0.548943776,0.05193774,0.037358413,,,,,,,,
86,0.526719391,0.521606366,0.514287749,0.529371632,0.015083883,0.004925063,,,,,,,,
80,0.53839016,0.520149748,0.477529437,0.561024742,0.083495305,0.020182143,,,,,,,,
73,0.544922233,0.519586404,0.501963183,0.536448139,0.034484957,0.026236655,,,,,,,,
154,0.448132634,0.51866738,0.467208585,0.567024636,0.099816051,0.068162209,,,,,,,,
121,0.483607024,0.518414418,0.498164309,0.538041039,0.03987673,0.034118893,,,,,,,,
161,0.442824215,0.518387715,0.43941416,0.598711922,0.159297762,0.081372884,,,,,,,,
60,0.568902135,0.517846028,0.458992682,0.57535165,0.116358968,0.055030582,,,,,,,,
177,0.426625729,0.517357429,0.479474475,0.553122566,0.07364809,0.089742353,,,,,,,,
119,0.483823687,0.51640749,0.490404088,0.540679645,0.050275557,0.031438483,,,,,,,,
78,0.54123199,0.51628828,0.503173381,0.529435224,0.026261843,0.025067157,,,,,,,,
59,0.570061207,0.515708764,0.476451013,0.553302564,0.076851552,0.056263937,,,,,,,,
117,0.484603465,0.515395562,0.492493652,0.537269347,0.044775695,0.029988484,,,,,,,,
91,0.522179723,0.51483957,0.50479551,0.524623497,0.019827987,0.00802838,,,,,,,,
98,0.516160667,0.51464812,0.513110593,0.516168304,0.00305771,0.001622052,,,,,,,,
55,0.573961496,0.513507128,0.436546385,0.596004596,0.159458211,0.057949285,,,,,,,,
149,0.452267319,0.513357361,0.476763472,0.54971267,0.072949198,0.060045327,,,,,,,,
118,0.484531015,0.513113062,0.486919317,0.539149718,0.052230401,0.027589242,,,,,,,,
166,0.433606476,0.511925697,0.463382428,0.558621214,0.095238786,0.076493651,,,,,,,,
170,0.43047598,0.510763963,0.470624724,0.5489739,0.078349177,0.07868836,,,,,,,,
144,0.455482274,0.508536299,0.462186229,0.553240769,0.09105454,0.051611549,,,,,,,,
173,0.429380476,0.508200725,0.467786161,0.548592591,0.080806431,0.080697258,,,,,,,,
67,0.553033769,0.507969697,0.428658181,0.592545125,0.163886944,0.042789079,,,,,,,,
221,0.365574211,0.507552465,0.446203063,0.56711349,0.120910427,0.13987787,,,,,,,,
168,0.431674808,0.507506212,0.461263291,0.551926697,0.090663406,0.074284112,,,,,,,,
128,0.472455919,0.506129265,0.482999212,0.528063168,0.045063956,0.032758767,,,,,,,,
76,0.542378664,0.50545613,0.471860258,0.537272489,0.065412231,0.038449083,,,,,,,,
71,0.549176395,0.505390048,0.416830351,0.599538291,0.18270794,0.04142605,,,,,,,,
241,0.311887175,0.504323085,0.428253082,0.582802614,0.154549532,0.196757086,,,,,,,,
145,0.455067992,0.503706813,0.4485163,0.561175378,0.112659078,0.051654379,,,,,,,,
193,0.413309157,0.503676891,0.444921304,0.559844631,0.114923327,0.088124062,,,,,,,,
88,0.523734093,0.503594319,0.492334665,0.515193895,0.02285923,0.019708579,,,,,,,,
104,0.506578863,0.503243526,0.424159933,0.588075848,0.163915915,0.000325371,,,,,,,,
169,0.43129158,0.503222346,0.424445835,0.585595258,0.161149423,0.076121064,,,,,,,,
187,0.418646157,0.503068924,0.468430532,0.536018015,0.067587483,0.08350604,,,,,,,,
108,0.500580549,0.50290517,0.445895981,0.564243052,0.118347071,0.005085617,,,,,,,,
72,0.547712445,0.500530084,0.450256869,0.549914136,0.099657267,0.050818193,,,,,,,,
238,0.325711161,0.499115427,0.415980477,0.581897576,0.1659171,0.177235732,,,,,,,,
115,0.486411273,0.498140097,0.473786236,0.521091091,0.047304854,0.01131222,,,,,,,,
114,0.48923263,0.497778773,0.49325402,0.502093253,0.008839233,0.00843647,,,,,,,,
85,0.528885603,0.497605642,0.454727701,0.54356115,0.088833449,0.029932801,,,,,,,,
113,0.493382096,0.496674935,0.447679138,0.542398537,0.0947194,0.001219136,,,,,,,,
134,0.461540997,0.496115804,0.468469673,0.522769321,0.054299647,0.033722562,,,,,,,,
90,0.522464275,0.492746313,0.433496154,0.550909703,0.117413549,0.033750145,,,,,,,,
83,0.532738745,0.490899642,0.431740387,0.548626993,0.116886607,0.045865973,,,,,,,,
99,0.514196396,0.490450303,0.46849287,0.51129832,0.042805449,0.024738539,,,,,,,,
84,0.532072783,0.488297145,0.468064072,0.508811064,0.040746992,0.043705399,,,,,,,,
165,0.436830193,0.487299403,0.420349398,0.556615584,0.136266187,0.054323783,,,,,,,,
225,0.357367516,0.487282991,0.432085316,0.539358972,0.107273656,0.12835149,,,,,,,,
230,0.343317986,0.48712786,0.427150364,0.54377354,0.116623176,0.142241558,,,,,,,,
188,0.416750133,0.485895673,0.455428902,0.517645153,0.062216251,0.070930911,,,,,,,,
110,0.499953032,0.485859672,0.406624361,0.571233112,0.164608751,0.009918394,,,,,,,,
74,0.542516112,0.483578682,0.442475813,0.522927317,0.080451504,0.061021374,,,,,,,,
208,0.392056584,0.483349005,0.415351214,0.547093416,0.131742203,0.088045192,,,,,,,,
171,0.430389792,0.482172171,0.39606106,0.571681332,0.175620273,0.056358616,,,,,,,,
185,0.419658691,0.479957898,0.419856304,0.536052723,0.116196419,0.058253932,,,,,,,,
124,0.478031993,0.479382316,0.396319321,0.5688,0.172480679,0.005342247,,,,,,,,
129,0.47025758,0.47909534,0.456587154,0.500199823,0.043612668,0.008273161,,,,,,,,
40,0.632160783,0.478217085,0.414335216,0.544070156,0.12973494,0.151766225,,,,,,,,
163,0.439983904,0.477707982,0.443397153,0.509646728,0.066249575,0.036135156,,,,,,,,
93,0.520055354,0.477518082,0.420077794,0.533450391,0.113372597,0.046458578,,,,,,,,
65,0.555345058,0.47668163,0.437344051,0.516053618,0.078709567,0.080477894,,,,,,,,
96,0.517509401,0.475928068,0.432384734,0.52258986,0.090205126,0.039663806,,,,,,,,
70,0.549435318,0.473639965,0.435745539,0.511567475,0.075821936,0.077542127,,,,,,,,
200,0.401993632,0.473374049,0.416424003,0.526530216,0.110106213,0.068869483,,,,,,,,
109,0.500094295,0.472839912,0.39595843,0.555261188,0.159302758,0.024507602,,,,,,,,
199,0.403732657,0.472527345,0.409843846,0.538422673,0.128578827,0.072158704,,,,,,,,
152,0.449050754,0.470526417,0.461186797,0.480270927,0.01908413,0.022013346,,,,,,,,
127,0.474570304,0.468916694,0.439675002,0.497873242,0.05819824,0.003986578,,,,,,,,
156,0.447436631,0.468282302,0.445214459,0.491878634,0.046664175,0.022437046,,,,,,,,
155,0.44744283,0.467972438,0.443208364,0.491046697,0.047838332,0.019464921,,,,,,,,
143,0.45588553,0.467768351,0.386521782,0.554495352,0.16797357,0.015229917,,,,,,,,
125,0.475988179,0.466768185,0.41679076,0.51697265,0.100181891,0.012867144,,,,,,,,
130,0.469088912,0.466379921,0.392439516,0.545743198,0.153303682,0.000720586,,,,,,,,
151,0.44996807,0.465854208,0.403812669,0.528474034,0.124661365,0.012562382,,,,,,,,
228,0.34549737,0.465480725,0.37326907,0.563091388,0.189822318,0.124462493,,,,,,,,
116,0.484804571,0.464443366,0.434673311,0.493089796,0.058416485,0.021917989,,,,,,,,
217,0.372563809,0.464205225,0.404645549,0.520930243,0.116284694,0.08922819,,,,,,,,
95,0.51783824,0.462389628,0.428012862,0.49501201,0.066999148,0.057459227,,,,,,,,
106,0.503820181,0.461903612,0.429491576,0.494461179,0.064969604,0.044274587,,,,,,,,
222,0.359501898,0.461617589,0.390499748,0.535946407,0.145446659,0.105758862,,,,,,,,
92,0.521102846,0.461425384,0.435185678,0.487353628,0.05216795,0.061057785,,,,,,,,
189,0.415840358,0.459550858,0.439858771,0.478470829,0.038612058,0.043061112,,,,,,,,
235,0.333534509,0.4583927,0.404106752,0.511141612,0.10703486,0.122974415,,,,,,,,
105,0.505999446,0.458345175,0.437708988,0.478613678,0.04090469,0.048647721,,,,,,,,
159,0.444934994,0.457536221,0.436584744,0.477158073,0.040573329,0.011951729,,,,,,,,
52,0.577479184,0.456783811,0.409943344,0.505816262,0.095872918,0.119349284,,,,,,,,
175,0.428351492,0.455937068,0.438532351,0.472653075,0.034120725,0.026855716,,,,,,,,
219,0.370239943,0.455797593,0.406929775,0.507008921,0.100079145,0.088627335,,,,,,,,
122,0.482134044,0.453710993,0.383640528,0.52854875,0.144908223,0.026515778,,,,,,,,
184,0.42222172,0.453138113,0.387275635,0.518940977,0.131665342,0.027963175,,,,,,,,
174,0.42842105,0.452515602,0.438474038,0.465866056,0.027392018,0.023564804,,,,,,,,
202,0.401865661,0.452238242,0.431854242,0.471855078,0.040000835,0.049789548,,,,,,,,
157,0.447252452,0.450751265,0.446211573,0.455021753,0.00881018,0.003407892,,,,,,,,
153,0.449019879,0.450130145,0.446368938,0.453903144,0.007534206,0.001388179,,,,,,,,
126,0.47478801,0.448651473,0.429882718,0.467435103,0.037552386,0.027606154,,,,,,,,
132,0.461900324,0.448517799,0.420147572,0.476187168,0.056039597,0.014116496,,,,,,,,
150,0.452057272,0.447332621,0.43408853,0.460453938,0.026365408,0.005686346,,,,,,,,
137,0.459162265,0.446512341,0.43769557,0.455142463,0.017446894,0.012918011,,,,,,,,
102,0.512550712,0.446297407,0.413884622,0.480220767,0.066336145,0.064813493,,,,,,,,
139,0.457903564,0.445109606,0.412027767,0.476781369,0.064753602,0.014194135,,,,,,,,
239,0.324281991,0.444608529,0.390707915,0.498641887,0.107933972,0.123213323,,,,,,,,
210,0.389814496,0.443382621,0.419126979,0.466437187,0.047310209,0.052522559,,,,,,,,
209,0.391106933,0.439902782,0.389017351,0.490347767,0.101330417,0.046831343,,,,,,,,
182,0.423547387,0.438770056,0.375086805,0.506222781,0.131135976,0.017829792,,,,,,,,
146,0.453504026,0.43835175,0.411480384,0.464687494,0.05320711,0.015890163,,,,,,,,
180,0.423985243,0.436171611,0.426874475,0.445075976,0.018201501,0.011885538,,,,,,,,
162,0.441470355,0.43500634,0.407349742,0.462768094,0.055418351,0.008409913,,,,,,,,
142,0.455941319,0.431226969,0.416784421,0.446249613,0.029465192,0.024210837,,,,,,,,
138,0.458571911,0.4309901,0.41959142,0.441997816,0.022406396,0.028234409,,,,,,,,
190,0.414481908,0.430874825,0.420618504,0.440739071,0.020120567,0.015973283,,,,,,,,
211,0.385752082,0.430006504,0.406197239,0.454988578,0.048791339,0.045669657,,,,,,,,
248,0.221830145,0.428000649,0.337783618,0.519058353,0.181274736,0.210884439,,,,,,,,
147,0.452864289,0.425238729,0.402489439,0.447764,0.045274562,0.028345009,,,,,,,,
158,0.447235852,0.424214919,0.410750149,0.437475174,0.026725025,0.023223959,,,,,,,,
140,0.456304461,0.41989549,0.387989039,0.452949433,0.064960393,0.035284331,,,,,,,,
172,0.429740816,0.418900569,0.39803591,0.439294029,0.04125812,0.01134153,,,,,,,,
205,0.397412896,0.41819342,0.348878484,0.490987355,0.142108871,0.023654567,,,,,,,,
192,0.414297372,0.417866071,0.407514882,0.428297822,0.020782939,0.003095483,,,,,,,,
196,0.411101937,0.41661648,0.410166933,0.423048612,0.012881679,0.005230049,,,,,,,,
181,0.423916399,0.416445374,0.404808723,0.428866838,0.024058115,0.00708599,,,,,,,,
203,0.401680887,0.413948059,0.391866945,0.434663525,0.04279658,0.011604748,,,,,,,,
237,0.330411971,0.413258354,0.378875098,0.447187859,0.06831276,0.081868891,,,,,,,,
191,0.41432637,0.412978967,0.398048559,0.42723373,0.029185171,0.001554546,,,,,,,,
164,0.437839389,0.410643339,0.386978277,0.432999142,0.046020864,0.028179947,,,,,,,,
167,0.4323318,0.408029556,0.371674242,0.443693138,0.072018896,0.025144377,,,,,,,,
243,0.301093698,0.407178879,0.358426491,0.455780215,0.097353725,0.104726336,,,,,,,,
240,0.320390135,0.402150313,0.354997473,0.451580886,0.096583413,0.084753981,,,,,,,,
245,0.279852808,0.402115067,0.344152955,0.463027677,0.118874722,0.125417236,,,,,,,,
246,0.272632718,0.40051953,0.332460875,0.47169898,0.139238105,0.131809017,,,,,,,,
212,0.385498226,0.398908774,0.391945582,0.406184767,0.014239185,0.013802265,,,,,,,,
236,0.33059299,0.397889058,0.36309047,0.434221341,0.071130871,0.06919369,,,,,,,,
220,0.365730137,0.391082525,0.376442894,0.40528538,0.028842485,0.024823174,,,,,,,,
232,0.336758882,0.390404145,0.340495124,0.440051595,0.099556471,0.051655878,,,,,,,,
176,0.427768379,0.389503876,0.366416052,0.412731639,0.046315587,0.03747864,,,,,,,,
201,0.40194276,0.388853272,0.381628511,0.396158908,0.014530398,0.01289591,,,,,,,,
244,0.299034476,0.388778647,0.33719424,0.442848625,0.105654385,0.093022297,,,,,,,,
207,0.392422318,0.386255066,0.382127826,0.390195692,0.008067866,0.006371261,,,,,,,,
148,0.452841997,0.382448713,0.348615954,0.418062559,0.069446606,0.069536958,,,,,,,,
227,0.353500277,0.379734238,0.36398685,0.39548016,0.031493311,0.027340037,,,,,,,,
215,0.379577875,0.374680201,0.364317787,0.385708206,0.021390419,0.004709291,,,,,,,,
194,0.413213223,0.37281553,0.351366943,0.395110398,0.043743455,0.039523855,,,,,,,,
213,0.383060634,0.371974309,0.355536781,0.388334364,0.032797582,0.010359159,,,,,,,,
233,0.335459948,0.369567474,0.349857445,0.390230987,0.040373542,0.035358251,,,,,,,,
224,0.358044893,0.363337119,0.356317495,0.370491234,0.014173739,0.005461542,,,,,,,,
197,0.410427749,0.359046936,0.330988243,0.388024289,0.057036046,0.050332057,,,,,,,,
247,0.243527338,0.358353853,0.312220195,0.403877898,0.091657704,0.113769613,,,,,,,,
214,0.382761687,0.354726354,0.341407753,0.368100548,0.026692795,0.028663754,,,,,,,,
234,0.335046679,0.348475575,0.336380402,0.360667529,0.024287127,0.014278987,,,,,,,,
229,0.344113171,0.345089793,0.341906107,0.348434384,0.006528277,0.001109783,,,,,,,,
223,0.358460128,0.34070313,0.332807221,0.348905684,0.016098463,0.017494381,,,,,,,,
249,0.19228135,0.338682652,0.243654981,0.438033009,0.194378029,0.151386399,,,,,,,,
231,0.340121388,0.334956805,0.325741063,0.344782391,0.019041328,0.004909965,,,,,,,,
216,0.374854922,0.325928509,0.260165007,0.396399549,0.136234542,0.046922629,,,,,,,,
250,0.080583215,0.319385429,0.211664922,0.432888185,0.221223263,0.244651459,,,,,,,,
242,0.31073159,0.310132523,0.288925995,0.332902257,0.043976262,0.000387563,,,,,,,,
218,0.370773703,0.263191462,0.212618919,0.316216079,0.10359716,0.105319701,,,,,,,,
226,0.355268836,0.254869064,0.205981564,0.306362071,0.100380507,0.099218838,,,,,,,,
